plntid;binary;plntmass;plntradius;period;smaxis;plnttemp;plntage;discmeth;discyear;ra;dec;distsun;strmass;strradius;strmetal;strtemp;strage;inhabitzone
WASP-19 b;0;1,168;1,386;0,78884;0,01655;1911,5;NA;transit;2009;148,416666666667;-45,6508333333333;250;0,97;0,99;0,02;5500;NA;FALSE
HD 39091 b;0;10,3;NA;2049;3,28;202,4;NA;RV;2001;84,2875;-80,4666666666667;18,32;1,1;2,1;0,09;5888;NA;FALSE
Kepler-159 b;0;NA;0,21689;10,139623;0,107074366193568;NA;NA;transit;2014;297,066666666667;40,8666666666667;457,7;0,628;0,663;NA;4625;NA;FALSE
Kepler-159 c;0;NA;0,31075;43,595792;0,283117917416159;NA;NA;transit;2014;297,066666666667;40,8666666666667;457,7;0,628;0,663;NA;4625;NA;TRUE
Kepler-75 b;0;10,1;1,05;8,8849116;0,0818;NA;NA;transit;2013;291,1375;36,5675;1140;0,91;0,89;0,3;5200;6,2;FALSE
CoRoT-28 b;0;0,484;0,955;5,20851;0,059;NA;NA;transit;2015;278,688375;5,57380555555556;560;1,01;1,78;0,15;5150;12;FALSE
Kepler-310 c;0;NA;0,30802;56,47542;0,291053788424981;NA;NA;transit;2014;288,8375;46,9836111111111;713,11;0,97;0,876;NA;5797;NA;FALSE
Kepler-310 d;0;NA;0,22509;92,876125;0,40551133834395;NA;NA;transit;2014;288,8375;46,9836111111111;713,11;0,97;0,876;NA;5797;NA;FALSE
Kepler-310 b;0;NA;0,10845;13,930698;0,114476285349009;NA;NA;transit;2014;288,8375;46,9836111111111;713,11;0,97;0,876;NA;5797;NA;FALSE
HD 141399 b;0;0,46;NA;94,35;0,4225;NA;NA;RV;2014;236,720833333333;46,9836111111111;36,17;1,14;1,46;0,18;NA;NA;FALSE
HD 141399 c;0;1,36;NA;202,08;0,7023;NA;NA;RV;2014;236,720833333333;46,9836111111111;36,17;1,14;1,46;0,18;NA;NA;FALSE
HD 141399 d;0;1,22;NA;1070,35;2,1348;NA;NA;RV;2014;236,720833333333;46,9836111111111;36,17;1,14;1,46;0,18;NA;NA;FALSE
HD 141399 e;0;0,69;NA;3717,35;4,8968;NA;NA;RV;2014;236,720833333333;46,9836111111111;36,17;1,14;1,46;0,18;NA;NA;FALSE
Kepler-279 c;0;NA;0,48664;35,740844;0,194093187552663;NA;NA;transit;2014;287,3875;42,1844444444444;1287,1;1,31;1,746;NA;6363;NA;FALSE
Kepler-279 b;0;NA;0,32989;12,309681;0,0953670368395771;NA;NA;transit;2014;287,3875;42,1844444444444;1287,1;1,31;1,746;NA;6363;NA;FALSE
Kepler-279 d;0;NA;0,45201;54,399606;0,256821232576006;NA;NA;transit;2014;287,3875;42,1844444444444;1287,1;1,31;1,746;NA;6363;NA;FALSE
HAT-P-9 b;0;0,67;1,4;3,922814;0,053;1397,3;NA;transit;2008;110,166666666667;37,1338888888889;480;1,28;1,32;0,12;6350;NA;FALSE
