plntid;binary;plntmass;plntradius;period;smaxis;plnttemp;plntage;discmeth;discyear;ra;dec;distsun;strmass;strradius;strmetal;strtemp;strage;inhabitzone
Kepler-87 b;0;1,019836;1,229348;114,7309;0,471;478,1;NA;transit;2013;297,916666666667;46,9513888888889;781,83;1,05;1,82;-0,17;5600;7,5;FALSE
Kepler-87 c;0;0,020132;0,55954;192,363;0,664;403,3;NA;transit;2013;297,916666666667;46,9513888888889;781,83;1,05;1,82;-0,17;5600;7,5;FALSE
HD 180902 b;0;1,6;NA;479;1,39;380,7;NA;RV;2010;289,825;-23,5505555555556;110;1,52;4,1;0,04;5030;NA;FALSE
Kepler-193 b;0;NA;0,2178;11,38848;0,0948695387994628;NA;NA;transit;2014;296,495833333333;46,5675;1301,67;1,139;1,147;NA;6335;NA;FALSE
Kepler-193 c;0;NA;0,25061;50,697494;0,256728416447055;NA;NA;transit;2014;296,495833333333;46,5675;1301,67;1,139;1,147;NA;6335;NA;FALSE
Kepler-55 d;0;NA;0,1449;2,211099;0,0387305080633079;NA;NA;transit;2014;285,166666666667;44,0175;610,01;0,631;0,619;NA;4503;NA;FALSE
Kepler-55 b;0;NA;0,19684;27,953314;0,210185750894998;NA;NA;transit;2014;285,166666666667;44,0175;610,01;0,631;0,619;NA;4503;NA;FALSE
Kepler-55 c;0;NA;0,18864;42,142596;0,27635156295298;NA;NA;transit;2014;285,166666666667;44,0175;610,01;0,631;0,619;NA;4503;NA;FALSE
Kepler-55 e;0;NA;0,14125;4,617534;0,0632782514483418;NA;NA;transit;2014;285,166666666667;44,0175;610,01;0,631;0,619;NA;4503;NA;FALSE
Kepler-55 f;0;NA;0,1449;10,198545;0,107318158763153;NA;NA;transit;2014;285,166666666667;44,0175;610,01;0,631;0,619;NA;4503;NA;FALSE
HATS-6 b;0;0,319;0,998;3,3252725;0,03623;712,8;NA;transit;2014;88,1458333333333;-19,0180555555556;172,6;0,574;0,57;0,2;3724;8,1;FALSE
HD 83443 b;0;0,4;NA;2,985625;0,0406;1218,5;NA;RV;2002;144,295833333333;-43,2669444444444;43,54;0,9;1,04;0,35;5460;NA;FALSE
HD 121504 b;0;1,22;NA;63,33;0,33;502,8;NA;RV;2003;209,320833333333;-56,0338888888889;44,37;1,18;NA;0,16;6075;NA;FALSE
WASP-106 b;0;1,925;1,085;9,289715;0,0917;1140;NA;transit;2014;166,429166666667;-5,06777777777778;283;1,192;1,393;-0,09;6055;7;FALSE
1SWASP J1407 b;0;14;NA;10044;9,11161423438078;NA;NA;transit;2007;211,949708333333;-39,7618611111111;133;NA;0,99;NA;NA;0,016;FALSE
Kepler-151 b;0;NA;0,27886;15,228958;0,126455628350168;NA;NA;transit;2014;292,1625;41,0172222222222;751,12;0,86;0,83;NA;5460;NA;FALSE
Kepler-151 c;0;NA;0,19046;24,674612;0,174444892907665;NA;NA;transit;2014;292,1625;41,0172222222222;751,12;0,86;0,83;NA;5460;NA;FALSE
HD 156411 b;0;0,74;NA;842,2;1,88;278;NA;RV;2009;259,9625;-48,5347222222222;55,1;1,25;2,16;-0,12;5900;NA;TRUE
PSR B1620-26 b;1;2,5;NA;36525;23;103,6;NA;timing;1994;245,908333333333;-26,5180555555556;3800;NA;NA;NA;NA;NA;FALSE
XO-1 b;0;0,9;1,184;3,9415128;0,0488;1168;NA;transit;2006;240,55;28,1669444444444;200;1;0,928;NA;5940;NA;FALSE
WASP-74 b;0;0,95;1,56;2,13775;0,037;1910;NA;transit;2014;304,538833333333;-1,07572222222222;120;1,48;1,64;0,39;5990;2;FALSE
HD 190647 b;0;1,9;NA;1038,1;2,07;209,5;NA;RV;2007;301,833333333333;-35,5336111111111;54,2;1,1;NA;0,24;5628;NA;TRUE
WASP-44 b;0;0,869;1,002;2,4238133;0,03445;1304;NA;transit;2011;3,90416666666667;-11,9336111111111;NA;0,917;0,865;0,06;5410;4,1;FALSE
SWEEPS-11;0;9,7;1,13;1,796;0,03;NA;NA;transit;2006;269,7625;-29,1847222222222;8500;1,1;1,45;NA;NA;NA;FALSE
WASP-28 b;0;0,907;1,213;3,40883;0,04469;1468;NA;transit;2010;353,616666666667;-1,56805555555556;410;1,021;1,094;-0,29;6150;5;FALSE
HIP 116454 b;0;0,037182;0,23056;9,1205;0,0930185115887283;690;NA;transit;2014;353,9553375;0,445516666666667;55,2;0,775;0,716;-0,16;5089;NA;FALSE
Kepler-386 c;0;NA;0,14399;25,193458;0,18265533643152;NA;NA;transit;2014;289,858333333333;48,6841666666667;927,61;0,781;0,767;NA;5178;NA;FALSE
Kepler-386 b;0;NA;0,12667;12,31043;0,113315501643026;NA;NA;transit;2014;289,858333333333;48,6841666666667;927,61;0,781;0,767;NA;5178;NA;FALSE
HAT-P-28 b;0;0,626;1,212;3,257215;0,0434;1262,4;NA;transit;2011;13;34,7177777777778;395;1,025;1,103;0,12;5680;NA;FALSE
Gliese 667 C b;1;0,017616;NA;7,2004;0,0505;NA;NA;RV;2009;259,7375;-34,9838888888889;6,97;0,33;0,41;NA;3350;NA;FALSE
Gliese 667 C h;1;0,00346;NA;16,946;0,0893;NA;NA;RV;2013;259,7375;-34,9838888888889;6,97;0,33;0,41;NA;3350;NA;TRUE
Gliese 667 C c;1;0,011954;NA;28,14;0,125;NA;NA;RV;2009;259,7375;-34,9838888888889;6,97;0,33;0,41;NA;3350;NA;TRUE
Gliese 667 C f;1;0,008493;NA;39,026;0,156;NA;NA;RV;2013;259,7375;-34,9838888888889;6,97;0,33;0,41;NA;3350;NA;TRUE
Gliese 667 C e;1;0,008493;NA;62,24;0,213;NA;NA;RV;2013;259,7375;-34,9838888888889;6,97;0,33;0,41;NA;3350;NA;TRUE
Gliese 667 C d;1;0,016043;NA;91,61;0,276;NA;NA;RV;2013;259,7375;-34,9838888888889;6,97;0,33;0,41;NA;3350;NA;FALSE
Gliese 667 C g;1;0,01447;NA;256,2;0,549;NA;NA;RV;2013;259,7375;-34,9838888888889;6,97;0,33;0,41;NA;3350;NA;FALSE
Kepler-80 b;0;NA;0,24241;7,053458;0,0802441126546185;NA;NA;transit;2014;296,1125;39,9677777777778;418,17;0,722;0,637;NA;4613;NA;FALSE
Kepler-80 c;0;NA;0,25972;9,521772;0,098014495274895;NA;NA;transit;2014;296,1125;39,9677777777778;418,17;0,722;0,637;NA;4613;NA;FALSE
Kepler-80 d;0;NA;0,15857;3,072186;0,046108053987425;NA;NA;transit;2014;296,1125;39,9677777777778;418,17;0,722;0,637;NA;4613;NA;FALSE
Kepler-80 e;0;NA;0,14945;4,645387;0,0607425550566223;NA;NA;transit;2014;296,1125;39,9677777777778;418,17;0,722;0,637;NA;4613;NA;FALSE
HIP 79431 b;0;2,1;NA;111,7;0,36;146,8;NA;RV;2010;243,175;-18,8675;14,4;0,49;NA;0,4;3191;NA;TRUE
WASP-99 b;0;2,78;1,1;5,75251;0,0717;1480;NA;transit;2013;39,8958333333333;-50,0005555555556;NA;1,48;1,76;0,21;6180;1,4;FALSE
HD 50499 b;0;1,71;NA;2482,7;3,86;155,1;NA;RV;2005;103,008333333333;-33,9013888888889;47,26;1,27;1,38;0,23;5902;NA;FALSE
HD 150433 b;0;0,168;NA;1096,2;1,9303;182,8;NA;RV;2011;250,283333333333;-2,85055555555556;29,6;NA;NA;NA;5940;NA;FALSE
WASP-96 b;0;0,48;1,2;3,4252602;0,0453;1285;NA;transit;2013;1,04583333333333;-47,3508333333333;NA;1,06;1,05;0,14;5540;8;FALSE
Kepler-361 c;0;NA;0,22965;55,188023;0,283718341694169;NA;NA;transit;2014;296,8;46,7338888888889;894,44;NA;1,343;NA;6169;NA;FALSE
Kepler-361 b;0;NA;0,13214;8,486616;0,0814355229406932;NA;NA;transit;2014;296,8;46,7338888888889;894,44;NA;1,343;NA;6169;NA;FALSE
Gliese 832 b;0;0,688908;NA;3660;3,6;NA;NA;RV;2008;323,391666666667;-49,0008333333333;4,94;0,45;NA;-0,3;3472;NA;FALSE
Gliese 832 c;0;0,015729;NA;35,67;0,162;NA;NA;RV;2014;323,391666666667;-49,0008333333333;4,94;0,45;NA;-0,3;3472;NA;TRUE
Kepler-281 c;0;NA;0,4839;36,337373;0,2189723648763;NA;NA;transit;2014;294,104166666667;44,7669444444444;1419,23;0,943;0,899;NA;5723;NA;FALSE
Kepler-281 b;0;NA;0,25699;14,646008;0,119481262279915;NA;NA;transit;2014;294,104166666667;44,7669444444444;1419,23;0,943;0,899;NA;5723;NA;FALSE
HD 20782 b;1;1,9;NA;591,9;1,381;211,4;NA;RV;2006;50,0125;-28,8502777777778;36,02;0,9;NA;-0,05;5578;NA;TRUE
HD 20781 b;1;0,0379;NA;29,15;0,169;509,8;NA;RV;2011;50,0125;-28,8502777777778;36,02;0,84;NA;NA;5940;NA;FALSE
HD 20781 c;1;0,0496;NA;85,131;0,3456;355;NA;RV;2011;50,0125;-28,8502777777778;36,02;0,84;NA;NA;5940;NA;FALSE
Kepler-146 b;0;NA;0,33809;31,158799;0,188322623433672;NA;NA;transit;2014;294,108333333333;38,7008333333333;844,99;1,09;1,208;NA;5948;NA;FALSE
Kepler-146 c;0;NA;0,28524;76,732171;0,343426401850141;NA;NA;transit;2014;294,108333333333;38,7008333333333;844,99;1,09;1,208;NA;5948;NA;FALSE
WASP-55 b;0;0,57;1,3;4,465633;0,0533;1160,1;NA;transit;2011;208,758333333333;-17,5002777777778;330;1,01;1,06;-0,2;5900;NA;FALSE
HD 109749 A b;1;0,28;NA;5,24;0,0635;1161,9;NA;RV;2005;189,316666666667;-40,8011111111111;59;1,2;NA;0,25;5610;NA;FALSE
Kepler-401 b;0;NA;0,15583;14,383035;0,115759829881789;NA;NA;transit;2014;290,079166666667;50,8511111111111;774,02;NA;1,333;NA;6117;NA;FALSE
Kepler-401 c;0;NA;0,19593;47,318218;0,256060806410951;NA;NA;transit;2014;290,079166666667;50,8511111111111;774,02;NA;1,333;NA;6117;NA;FALSE
EPIC 201565013 b;0;NA;1,472;8,6381;0,0669;536;NA;transit;2015;176,992191666667;1,51025;506;0,51;0,5;-0,44;3987;NA;FALSE
WASP-16 b;0;0,855;1,008;3,1186009;0,0421;1160;NA;transit;2009;214,683333333333;-20,2675;NA;1,022;0,946;0,01;5550;NA;FALSE
MOA-2008-BLG-310-L b;0;0,23;NA;NA;1,25;152,7;NA;microlensing;2009;268,558333333333;-34,7677777777778;6000;0,67;NA;NA;5700;NA;FALSE
HAT-P-50 b;0;1,35;1,288;3,1220109;0,0453;1862;NA;transit;2015;118,063333333333;12,1394166666667;497;1,273;1,698;-0,18;6280;3,37;FALSE
Kepler-13 A b;1;NA;1,406;1,76358799;0,03423;2750;NA;transit;2011;286,97128;46,8683202777778;530;1,72;1,71;0,2;7650;0,708;FALSE
HD 103197 b;0;0,098;NA;47,84;0,249;409,7;NA;RV;2009;178,220833333333;-50,2841666666667;49,3;0,9;NA;0,21;5303;NA;FALSE
GJ 229 b;1;0,101;NA;471;0,97;NA;NA;RV;2014;92,6442305416667;-21,8646421388889;5,75;0,58;NA;NA;3564;NA;FALSE
Alpha Centauri B b;1;0,0035546417;NA;3,235;0,04;NA;NA;RV;2012;219,895833333333;-60,8336111111111;1,339;0,934;0,865;NA;5260;NA;FALSE
WASP-15 b;0;0,542;1,428;3,7520656;0,0499;1511,3;NA;transit;2008;208,929166666667;-32,1508333333333;308;1,18;1,477;-0,17;6300;NA;FALSE
HAT-P-8 b;1;1,275;1,321;3,0763402;0,0439;1713;NA;transit;2008;343,041666666667;35,4347222222222;230;1,192;1,475;0,01;6200;4,3;FALSE
HAT-P-20 b;0;7,246;0,867;2,875317;0,0361;888,3;NA;transit;2010;111,916666666667;24,3336111111111;70;0,756;0,694;0,35;4595;NA;FALSE
HD 233604 b;0;6,575;NA;192;0,747;NA;NA;RV;2013;137,45341875;53,5682286111111;NA;1,5;10,9;-0,36;4791;2,4;FALSE
HATS-13 b;0;0,543;1,212;3,0440499;0,04057;1244;NA;transit;2015;316,962;-26,0966666666667;476;0,962;0,887;0,05;5523;2,5;FALSE
HAT-P-46 b;0;0,493;1,284;NA;0,0577;1458;NA;transit;2013;270,445833333333;-2,96694444444444;296;1,284;1,396;0,3;6120;2,5;FALSE
HAT-P-46 c;0;2;NA;NA;0,383;NA;NA;RV;2013;270,445833333333;-2,96694444444444;296;1,284;1,396;0,3;6120;2,5;FALSE
BD-082823 b;0;0,045;NA;5,6;0,056;759,6;NA;RV;2009;150,2;-9,51666666666667;42,2;0,74;NA;-0,07;4746;NA;FALSE
BD-082823 c;0;0,33;NA;237,6;0,68;217,8;NA;RV;2009;150,2;-9,51666666666667;42,2;0,74;NA;-0,07;4746;NA;TRUE
16 Cygni B b;1;1,77;NA;799,5;1,72;NA;NA;RV;1996;295,453972625;50,5250598055556;21,146;1,07;1,127;0,052;5750;6,8;TRUE
Kepler-239 b;0;NA;0,21233;11,763051;0,111080770067204;NA;NA;transit;2014;294,2;40,6511111111111;684,6;0,757;0,763;NA;4914;NA;FALSE
Kepler-239 c;0;NA;0,22874;56,228098;0,315206010761508;NA;NA;transit;2014;294,2;40,6511111111111;684,6;0,757;0,763;NA;4914;NA;FALSE
HD 82886 b;0;1,3;NA;705;1,65;382,7;NA;RV;2011;143,93826125;34,7807425;125;1,06;4,8;-0,31;5112;NA;TRUE
DH Tau B;0;12;NA;NA;NA;2750;NA;imaging;2005;67,425;26,5347222222222;140,01;0,4;NA;NA;3840;NA;FALSE
Kepler-165 b;0;NA;0,21142;8,180848;0,0859634902699601;NA;NA;transit;2014;280,6875;47,8008333333333;644,43;0,79;0,77;NA;5211;NA;FALSE
Kepler-165 c;0;NA;0,20322;15,31299;0,130563512093887;NA;NA;transit;2014;280,6875;47,8008333333333;644,43;0,79;0,77;NA;5211;NA;FALSE
HD 141937 b;0;9,7;NA;653,22;1,52;215,8;NA;RV;2002;238,070833333333;-18,4333333333333;33,46;1,1;1,06;0,11;5925;NA;TRUE
Kepler-95 b;0;0,040894;0,311666;11,5231;0,0973260632845363;NA;NA;transit;2014;284,483333333333;44,3847222222222;456,3;1,08;1,41;0,3;5699;5,63;FALSE
Kepler-299 c;0;NA;0,2415;6,885875;0,070819401519541;NA;NA;transit;2014;283,204166666667;48,5677777777778;1107,98;1,001;1,032;NA;5617;NA;FALSE
Kepler-299 d;0;NA;0,1695;15,054786;0,119296916972683;NA;NA;transit;2014;283,204166666667;48,5677777777778;1107,98;1,001;1,032;NA;5617;NA;FALSE
Kepler-299 b;0;NA;0,12029;2,927128;0,0400381471990699;NA;NA;transit;2014;283,204166666667;48,5677777777778;1107,98;1,001;1,032;NA;5617;NA;FALSE
Kepler-299 e;0;NA;0,17041;38,285489;0,222263915867177;NA;NA;transit;2014;283,204166666667;48,5677777777778;1107,98;1,001;1,032;NA;5617;NA;FALSE
Kepler-10 b;0;0,010475;0,133962;0,8374907;0,01685;2169;NA;transit;2011;285,679166666667;50,2338888888889;173;0,91;1,065;-0,15;5643;10,6;FALSE
Kepler-10 c;0;0,054106;0,214156;45,294301;0,241;584;NA;transit;2011;285,679166666667;50,2338888888889;173;0,91;1,065;-0,15;5643;10,6;FALSE
Kepler-442 b;0;NA;0,12;112,3053;0,409;NA;NA;transit;2015;285,366583333333;39,2800833333333;342;0,609;0,598;-0,37;4402;2,9;TRUE
HD 45350 b;0;1,79;NA;890,76;1,92;197;NA;RV;2004;97,1875;38,9511111111111;49;1,02;1,27;0,29;5754;NA;TRUE
HD 168746 b;0;0,23;NA;6,403;0,065;1026,4;NA;RV;2002;275,454166666667;-11,9172222222222;43,12;0,88;1,12;-0,06;5610;NA;FALSE
Kepler-127 d;0;NA;0,24058;48,630408;0,282;NA;NA;transit;2014;285,1875;46,0177777777778;338,98;1,269;1,359;NA;6106;NA;FALSE
Kepler-127 c;0;NA;0,24241;29,393195;0,202;NA;NA;transit;2014;285,1875;46,0177777777778;338,98;1,269;1,359;NA;6106;NA;FALSE
Kepler-127 b;0;NA;0,12758;14,435889;0,126;NA;NA;transit;2014;285,1875;46,0177777777778;338,98;1,269;1,359;NA;6106;NA;FALSE
HATS-8 b;0;0,138;0,873;3,583893;0,04667;1324;NA;transit;2015;294,942;-25,7483055555556;829;1,056;1,086;0,21;5679;5,1;FALSE
Kepler-304 b;0;NA;0,26063;3,295709;0,0491252207185054;NA;NA;transit;2014;294,441666666667;40,5505555555556;482,29;0,687;0,687;NA;4731;NA;FALSE
Kepler-304 d;0;NA;0,25061;9,653471;0,100568260929338;NA;NA;transit;2014;294,441666666667;40,5505555555556;482,29;0,687;0,687;NA;4731;NA;FALSE
Kepler-304 c;0;NA;0,19775;5,315946;0,0675656018717705;NA;NA;transit;2014;294,441666666667;40,5505555555556;482,29;0,687;0,687;NA;4731;NA;FALSE
KIC 10905746 b;0;NA;0,237;9,8844;0,0751;NA;NA;transit;2011;283,629166666667;48,3838888888889;NA;0,578;0,548;-0,23;NA;NA;FALSE
HD 120084 b;0;4,5;NA;2082;4,3;NA;NA;RV;2013;205,6625;78,0513888888889;98;2,4;9,12;0,09;4892;NA;TRUE
Kepler-270 b;0;NA;0,18317;11,476094;0,0945057643613926;NA;NA;transit;2014;282,2;44,4172222222222;1098,1;1,17;1,461;NA;6067;NA;FALSE
Kepler-270 c;0;NA;0,1613;25,262887;0,159925439946078;NA;NA;transit;2014;282,2;44,4172222222222;1098,1;1,17;1,461;NA;6067;NA;FALSE
WASP-34 b;0;0,59;1,22;4,3176782;0,0524;1058,7;NA;transit;2010;165,4;-23,8508333333333;120;1,01;0,93;-0,02;5700;NA;FALSE
CoRoT-29 b;0;0,85;0,9;2,85057;0,039;NA;NA;transit;2015;278,902083333333;6,47969444444444;765;0,97;0,9;0,2;5260;4,5;FALSE
WASP-4 b;0;1,1215;1,363;1,33823187;0,02312;1710,4;NA;transit;2007;353,5625;-42,0511111111111;300;0,93;1,15;-0,03;5500;NA;FALSE
Kepler-28 b;0;NA;0,32806906;5,91;0,062;680;NA;transit;2012;292,133333333333;42,4177777777778;772,8;0,75;0,7;0,34;4590;NA;FALSE
Kepler-28 c;0;NA;0,30984;8,98;0,081;595;NA;transit;2012;292,133333333333;42,4177777777778;772,8;0,75;0,7;0,34;4590;NA;FALSE
HD 220074 b;0;11,1;NA;672,1;1,6;965,5;NA;RV;2012;350,058333333333;61,9669444444444;290,2;1,2;49,7;-0,25;5080;NA;TRUE
11 UMi b;0;11,2;NA;516,22;1,54;NA;NA;RV;2009;229,274537458333;71,8239018333333;122,1;1,8;24,08;0,04;4340;NA;FALSE
TrES-1 b;0;0,761;1,099;3,0300722;0,0393;NA;NA;transit;2004;286,0375;36,6180555555556;157;0,88;0,85;0,001;5250;NA;FALSE
HD 240237 b;0;5,3;NA;745,7;1,9;780,9;NA;RV;2010;348,925;58,0341666666667;1500;1,69;32;-0,26;4361;NA;FALSE
70 Vir b;0;7,4;NA;116,6926;0,481;479,1;NA;RV;1996;202,107535875;13,7787885;18,1;1,09;1,94;-0,09;5439;7,77;FALSE
Kepler-35 (AB) b;1;0,127;0,728;131,458;0,60347;NA;NA;transit;2012;294,495833333333;46,6838888888889;1645;NA;NA;NA;NA;NA;FALSE
Kepler-345 c;0;NA;0,10936;9,387427;0,102701934772449;NA;NA;transit;2014;295,225;45,9669444444444;272,73;0,61;0,623;NA;4504;NA;FALSE
Kepler-345 b;0;NA;0,06744;7,415563;0,0877627714407883;NA;NA;transit;2014;295,225;45,9669444444444;272,73;0,61;0,623;NA;4504;NA;FALSE
WASP-21 b;0;0,276;1,162;4,3225186;0,0499;1333;NA;transit;2010;347,491666666667;18,3844444444444;230;0,89;1,136;-0,46;5800;NA;FALSE
Kepler-233 b;0;NA;0,22145;8,472382;0,0857049362152139;NA;NA;transit;2014;296,3625;51,3169444444444;859,5;0,855;0,758;NA;5360;NA;FALSE
Kepler-233 c;0;NA;0,24696;60,418955;0,317529653726957;NA;NA;transit;2014;296,3625;51,3169444444444;859,5;0,855;0,758;NA;5360;NA;FALSE
HD 31527 b;0;0,0363;NA;16,546;0,1253;770,9;NA;RV;2011;73,9083333333333;-23,2341666666667;38,6;NA;NA;NA;5940;NA;FALSE
HD 31527 c;0;0,0498;NA;51,284;0,2665;528,8;NA;RV;2011;73,9083333333333;-23,2341666666667;38,6;NA;NA;NA;5940;NA;FALSE
HD 31527 d;0;0,0519;NA;274,49;0,8181;299,2;NA;RV;2011;73,9083333333333;-23,2341666666667;38,6;NA;NA;NA;5940;NA;TRUE
XO-4 b;0;1,72;1,34;4,1250823;0,0555;1328,2;NA;transit;2008;110,3875;58,2666666666667;293;1,32;1,55;-0,04;5700;NA;FALSE
Gliese 436 b;0;0,0727;0,3767;2,64385;0,02872;650,3;NA;transit;2004;175,545833333333;26,7005555555556;10,14;0,452;0,464;-0,32;3684;NA;FALSE
Gliese 436 c;0;0,0008807961;0,06014599;1,3658;0,0185;813,5;NA;transit;2012;175,545833333333;26,7005555555556;10,14;0,452;0,464;-0,32;3684;NA;FALSE
Kepler-235 b;0;NA;0,20322;3,340222;0,0524142085438369;NA;NA;transit;2014;286,075;39,2677777777778;525,48;0,581;0,554;NA;4255;NA;FALSE
Kepler-235 d;0;NA;0,18682;20,060548;0,173178512888137;NA;NA;transit;2014;286,075;39,2677777777778;525,48;0,581;0,554;NA;4255;NA;FALSE
Kepler-235 e;0;NA;0,20231;46,183669;0,301942629038314;NA;NA;transit;2014;286,075;39,2677777777778;525,48;0,581;0,554;NA;4255;NA;TRUE
Kepler-235 c;0;NA;0,11665;7,824904;0,0924523929060976;NA;NA;transit;2014;286,075;39,2677777777778;525,48;0,581;0,554;NA;4255;NA;FALSE
HD 23127 b;0;1,5;NA;1214;2,4;205,3;NA;RV;2007;54,85;-60,0677777777778;89,1;1,13;NA;0,34;5927;NA;TRUE
HD 21693 b;0;0,0322;NA;22,656;0,1484;581,9;NA;RV;2011;51,8;-58,3172222222222;32,4;NA;NA;NA;5940;NA;FALSE
HD 21693 c;0;0,06472;NA;53,881;0,2644;436,2;NA;RV;2011;51,8;-58,3172222222222;32,4;NA;NA;NA;5940;NA;FALSE
OGLE-2012-BLG-0026L b;0;0,11;NA;NA;3,82;NA;NA;microlensing;2012;263,575;-27,1341666666667;4080;0,82;NA;NA;NA;NA;FALSE
OGLE-2012-BLG-0026L c;0;0,68;NA;NA;4,63;NA;NA;microlensing;2012;263,575;-27,1341666666667;4080;0,82;NA;NA;NA;NA;FALSE
Kepler-298 b;0;NA;0,17862;10,475464;0,10762794686305;NA;NA;transit;2014;283,0375;48,8175;474,25;0,66;0,582;NA;4465;NA;FALSE
Kepler-298 c;0;NA;0,17588;22,92881;0,181438962370307;NA;NA;transit;2014;283,0375;48,8175;474,25;0,66;0,582;NA;4465;NA;FALSE
Kepler-298 d;0;NA;0,22783;77,473633;0,408550259952917;NA;NA;transit;2014;283,0375;48,8175;474,25;0,66;0,582;NA;4465;NA;TRUE
GSC 06214-00210 b;0;17;NA;NA;NA;1700;NA;imaging;2010;245,479166666667;-20,7166666666667;145;0,9;NA;NA;4060;11;FALSE
Kepler-443 b;0;NA;0,208;177,6693;0,495;NA;NA;transit;2015;288,610541666667;49,9686388888889;779;0,738;0,706;-0,01;4723;3,2;TRUE
WASP-63 b;0;0,38;1,43;4,37809;0,0574;1540;NA;transit;2011;94,3364583333333;-38,3232777777778;330;1,32;1,88;0,08;5570;NA;FALSE
Kepler-357 d;0;NA;0,31258;49,499875;0,293459914201137;NA;NA;transit;2014;291,241666666667;44,0008333333333;926,37;0,727;0,834;NA;5036;NA;FALSE
Kepler-357 b;0;NA;0,16768;6,475434;0,0756238248286497;NA;NA;transit;2014;291,241666666667;44,0008333333333;926,37;0,727;0,834;NA;5036;NA;FALSE
Kepler-357 c;0;NA;0,24332;16,85837;0,143116521593247;NA;NA;transit;2014;291,241666666667;44,0008333333333;926,37;0,727;0,834;NA;5036;NA;FALSE
Kepler-249 c;0;NA;0,13761;7,113702;0,0908526909000364;NA;NA;transit;2014;296,983333333333;43,6508333333333;230,75;0,506;0,482;NA;3568;NA;FALSE
Kepler-249 b;0;NA;0,09933;3,306539;0,054515891152833;NA;NA;transit;2014;296,983333333333;43,6508333333333;230,75;0,506;0,482;NA;3568;NA;FALSE
Kepler-249 d;0;NA;0,14307;15,368459;0,151831155770184;NA;NA;transit;2014;296,983333333333;43,6508333333333;230,75;0,506;0,482;NA;3568;NA;FALSE
Kepler-51 b;0;0,175787;0,642469;45,155314;0,244973431873613;NA;NA;transit;2012;296,479166666667;49,9336111111111;986,91;1,04;0,94;NA;6018;0,3;FALSE
Kepler-51 c;0;0,113864;0,520354;85,31644;0,374399182823502;NA;NA;transit;2012;296,479166666667;49,9336111111111;986,91;1,04;0,94;NA;6018;0,3;FALSE
Kepler-51 d;0;0,0239121542963;0,9113;130,178058;0,509;381;NA;transit;2014;296,479166666667;49,9336111111111;986,91;1,04;0,94;NA;6018;0,3;FALSE
HD 99706 b;0;1,4;NA;868;2,14;342,5;NA;RV;2011;172,125;43,9666666666667;129;1,72;5,4;0,14;4932;NA;TRUE
Kepler-37 b;0;NA;0,027;13,367308;0,1003;NA;NA;transit;2013;284,058333333333;44,5166666666667;66;0,803;0,77;-0,32;5417;6;FALSE
Kepler-37 c;0;NA;0,0662;21,301886;0,1368;NA;NA;transit;2013;284,058333333333;44,5166666666667;66;0,803;0,77;-0,32;5417;6;FALSE
Kepler-37 d;0;NA;0,181349;39,792187;0,2076;NA;NA;transit;2013;284,058333333333;44,5166666666667;66;0,803;0,77;-0,32;5417;6;FALSE
Kepler-37 e;0;NA;NA;51,196;0,2508;NA;NA;timing;2014;284,058333333333;44,5166666666667;66;0,803;0,77;-0,32;5417;6;FALSE
KOI-195 b;0;0,34;1,09;3,21751883;0,0414;1300;NA;transit;2014;289,433333333333;49,4672222222222;880;0,91;0,92;-0,21;5725;3;FALSE
Kepler-83 b;0;NA;0,23056;9,770469;0,102536487469548;NA;NA;transit;2014;282,229166666667;43,6513888888889;619,67;0,664;0,594;NA;4648;NA;FALSE
Kepler-83 d;0;NA;0,17679;5,169796;0,0670785654298988;NA;NA;transit;2014;282,229166666667;43,6513888888889;619,67;0,664;0,594;NA;4648;NA;FALSE
Kepler-83 c;0;NA;0,2096;20,090227;0,165802620842176;NA;NA;transit;2014;282,229166666667;43,6513888888889;619,67;0,664;0,594;NA;4648;NA;FALSE
HD 48265 b;0;1,16;NA;700;1,51;291,4;NA;RV;2008;100,008333333333;-48,5341666666667;87,4;0,93;NA;0,17;5940;NA;TRUE
Kepler-441 b;0;NA;0,146;207,2482;0,64;NA;NA;transit;2015;284,566875;49,0125555555556;284;0,0572;0,55;-0,57;4340;1,9;FALSE
Kepler-97 b;0;0,011041;0,134873;2,58664;0,0376506284780356;NA;NA;transit;2014;287,325;48,6672222222222;414,4;0,94;0,98;-0,2;5779;8,42;FALSE
Kepler-97 c;0;NA;NA;NA;NA;NA;NA;RV;2014;287,325;48,6672222222222;414,4;0,94;0,98;-0,2;5779;8,42;FALSE
BD+15 2940 b;0;1,11;NA;137,48;0,539;NA;NA;RV;2013;240,095576125;15,54692475;585;1,1;14,7;0,28;4796;7,1;FALSE
Kepler-190 b;0;NA;0,14216;2,019999;0,0336640865910852;NA;NA;transit;2014;288,583333333333;44,7333333333333;470,3;0,802;0,795;NA;5106;NA;FALSE
Kepler-190 c;0;NA;0,13305;3,763024;0,0509671940286052;NA;NA;transit;2014;288,583333333333;44,7333333333333;470,3;0,802;0,795;NA;5106;NA;FALSE
TrES-3 b;0;1,91;1,305;1,30618608;0,0226;NA;NA;transit;2007;268,029166666667;37,5344444444444;400;0,88;0,85;0,001;5720;NA;FALSE
Kepler-56 b;0;0,0695;0,581;10,51057;0,1028;NA;NA;transit;2012;293,758375;41,8718611111111;NA;1,32;4,22;0,2;4840;3,5;FALSE
